Query Response, From Server-0, To Client-3, Task-0, SubTask-0, Response:2, Timestamp:19:10:58
Query Response, From Server-1, To Client-3, Task-0, SubTask-0, Response:1, Timestamp:19:10:58
Query Response, From Server-0, To Client-3, Task-0, SubTask-1, Response:0, Timestamp:19:10:59
Query Response, From Server-1, To Client-3, Task-0, SubTask-1, Response:1, Timestamp:19:10:59
Query Response, From Server-1, To Client-3, Task-0, SubTask-2, Response:2, Timestamp:19:10:59
Query Response, From Server-2, To Client-3, Task-0, SubTask-2, Response:2, Timestamp:19:10:59
Query Response, From Server-1, To Client-3, Task-1, SubTask-0, Response:2, Timestamp:19:11:33
Query Response, From Server-2, To Client-3, Task-1, SubTask-0, Response:2, Timestamp:19:11:33
Query Response, From Server-1, To Client-3, Task-1, SubTask-1, Response:2, Timestamp:19:11:33
Query Response, From Server-2, To Client-3, Task-1, SubTask-1, Response:2, Timestamp:19:11:33
Query Response, From Server-1, To Client-3, Task-1, SubTask-2, Response:4, Timestamp:19:11:34
Query Response, From Server-2, To Client-3, Task-1, SubTask-2, Response:4, Timestamp:19:11:34
